Molecule ChEMBL ID,AlogP,Smiles
CHEMBL1512440,2.21,O=c1c(O)cc(C2Oc3cc(O)cc(O)c3CC2O)cc2c(C3Oc4cc(O)cc(O)c4CC3O)cc(O)c(O)c12
CHEMBL3145060,3.66,Cc1[nH]n(-c2ccccc2)c(=O)c1N=Nc1ccc2c(c1)OCCO2
CHEMBL1470408,5.21,O=C(O)CC/C(=C\c1ccc(N2CCCC2)c([N+](=O)[O-])c1)c1nc2ccccc2s1
CHEMBL1465049,4.58,Oc1ccc(NCc2ccccc2OCc2ccccc2)cc1
CHEMBL1353526,3.68,N#C/C(=C1\C(=O)Nc2ccccc21)c1nc2ccccc2s1
CHEMBL1351847,4.04,N#CC1=C(N)C2=CCCC[C@H]2[C@H](c2ccc(Br)cc2)C1(C#N)C#N
CHEMBL582715,4.59,Cc1cc(N2CCN(C)CC2)nc2ccc(NC(=O)Nc3ccccc3Cl)cc12
CHEMBL1407881,5.03,COc1ccc(C(=O)/C=C/c2ccc(C)cc2)c(OC(=O)c2ccc([N+](=O)[O-])cc2)c1
CHEMBL1510676,6.02,Cc1ccc(C2C(/C=C3/SC(=S)NC3=O)=C(c3cccs3)Oc3ccccc32)cc1
CHEMBL258893,3.72,COc1ccc2c(c[n+](C)c3c4cc5c(cc4ccc23)OCO5)c1OC.[Cl-]
CHEMBL1447877,2.5,COc1ccc(C2=CC3=C(Br)C(=O)C(C)(O)C(=O)C3=CO2)cc1
CHEMBL1582630,5.26,O=C(N=Nc1ccc(NOC(=O)c2ccccc2Br)cc1)c1ccccc1O
CHEMBL3190376,5.16,Cc1c(C(=O)O)cccc1-c1ccc(/C=N/Nc2ccc(Br)cc2)o1
CHEMBL1340625,3.48,CCOc1cc(/C=C/c2cc(C(F)(F)F)nc(O)n2)ccc1O
CHEMBL3193510,4.06,COc1ccc(N/N=C(/N=Nc2nc(C)cc(O)n2)c2ccccc2)cc1
CHEMBL1416815,5.25,COc1ccc(-c2nc(-c3cccs3)c(-c3cccs3)[nH]2)cc1O
CHEMBL1585703,4.35,O=[N+]([O-])c1ccccc1-c1ccc(C(=S)N2CCN(c3ccccc3)CC2)o1
CHEMBL1609744,1.52,NS(=O)(=O)c1ccc(Nc2ccc([N+](=O)[O-])c3nonc23)cc1
CHEMBL3144932,4.06,Cc1[nH]n(-c2ccccc2)c(=O)c1C(c1cccc([N+](=O)[O-])c1O)c1c(C)[nH]n(-c2ccccc2)c1=O
CHEMBL1435321,5.55,COc1ccc(Cl)cc1NC(=O)c1c(NCc2cccnc2)sc2c1CCCC2
CHEMBL1350350,3.91,COc1ccc(NC(=O)CCCN2C(=O)/C(=C\c3ccco3)SC2=S)cc1
CHEMBL1418360,3.03,COc1cc(C(=O)Nc2ccc(N(C)C)cc2)cc(OC)c1OC
CHEMBL1378852,4.52,Fc1cccc2sc(Nc3nc4cc5c(cc4s3)OCO5)nc12
CHEMBL1496732,3.57,CCc1ccc(CNc2ccc(O)cc2)cc1
CHEMBL1595879,5.47,Cc1ccc(Nc2nc(-c3sc(NC(=O)c4ccco4)nc3C)cs2)cc1
CHEMBL1461822,6.33,c1cc2c3c(cccc3c1)NC1(CCC3(CC1)Nc1cccc4cccc(c14)N3)N2
CHEMBL1452716,4.17,COC(=O)[C@H]1C(OC)[C@@H](OC(=O)c2cc(OC)c(OC)c(OC)c2)C[C@@H]2CN3CCc4c([nH]c5cc(OC)ccc45)[C@H]3C[C@H]21
CHEMBL1501374,4.05,Cc1ccc2[nH]c(CSc3nc(C)cc(C)c3C#N)nc2c1
CHEMBL1558621,1.62,O=C1C=C2C[C@]3(O)COc4cc(O)ccc4C3=C2C=C1O
