Molecule ChEMBL ID,AlogP,Smiles
CHEMBL389516,3.32,O=C(CCN1C(=O)c2ccccc2C1=O)N1CCN(Cc2ccc(Cl)cc2Cl)CC1
CHEMBL1488260,3.55,Cc1ccc(C(=O)c2oc3ccccc3c2N)cc1
CHEMBL1575899,4.82,O=C(CSc1nnc(COc2ccccc2)n1-c1ccccc1)c1ccccc1
CHEMBL3144968,2.85,Cc1[nH]n(C2=NCCS2)c(=O)c1N=Nc1ccccc1
CHEMBL1497520,4.55,Cc1nn(Cc2ccccc2)c(C)c1NC(=O)c1noc2c1CCc1ccccc1-2
CHEMBL1587589,3.93,Nc1c(-c2ccsc2)cnn1-c1nc(-c2ccccc2)c(CC(=O)O)s1
CHEMBL1564286,4.35,COc1ccccc1NC(=O)CSc1nc(-c2ccc(C(C)(C)C)cc2)c(C#N)c(=O)[nH]1
CHEMBL1964868,4.21,O=[N+]([O-])c1cccc(/C=C/c2nc(/C=N/c3ccccc3)c(O)o2)c1
CHEMBL1965068,3.65,C/C(=N\NC(=O)COc1ccc(C)cc1Br)c1cc([N+](=O)[O-])cs1
CHEMBL1470338,2.78,Nc1ncnc(Oc2cccc(C(F)(F)F)c2)c1[N+](=O)[O-]
CHEMBL1468403,5.2,CCOc1ccc(Cn2c3ccc(OC)cc3c3nc4ccccc4nc32)cc1OC
CHEMBL1389948,3.36,COc1cnc(N(C)C)nc1Sc1ccc(Cl)cc1
CHEMBL3194114,4.41,Brc1ccc(-c2csc(N/N=C/c3cccnc3)n2)cc1
CHEMBL1488418,3.33,COc1ccc(Cl)cc1C(=O)Nc1ccc2c(c1)OCO2
CHEMBL1340336,4.73,CSc1ccccc1NC(=O)COc1ccc(Cl)cc1Cl
CHEMBL1358221,5.44,COc1ccc(/C=C/C(=O)Nc2ccc3nc(N4CCC(C)CC4)cc(C)c3c2)cc1
CHEMBL1389966,4.69,CCOc1ccc(-c2cc(CCCC(=O)NCc3ccc(C)cc3)no2)cc1
CHEMBL1485174,4.73,COc1ccc2[nH]c(C)c(CCN=C(S)Nc3ccc(C)cc3)c2c1
CHEMBL1310914,3.18,O=S(=O)(c1ccc2nc(O)oc2c1)N1CCC(Cc2ccccc2)CC1
CHEMBL1433104,4.02,CCCOc1ccc(N/C=C/C(=O)C(C)(C)C)cc1
CHEMBL1414009,4.21,O=C(CSC(=S)N1CCCC1)c1cc(Br)cc(Br)c1O
CHEMBL1309905,2.21,CCN1C(C)=C(C)S/C1=C1\SC(=S)N(N)C1=O
CHEMBL1413890,2.47,CCOC(=O)c1c(C)n(Cc2ccccc2)c2ccc(OCC(O)CN3C(=O)CNC3=O)cc12
CHEMBL1603056,2.59,O=C(COc1ccc2ccccc2c1)NNC(=O)c1ccc([N+](=O)[O-])cc1
CHEMBL1549361,5.91,O=C(Nc1cccc(Cl)c1Cl)c1ccc(-c2ccccc2)cc1
CHEMBL1554309,4.13,COc1ccc(NC(=O)Cn2c(=O)n(CCCCCC(=O)NCc3ccc4c(c3)OCO4)c(=O)c3sccc32)cc1Cl
CHEMBL1490427,3.66,Cc1nc2cc(NC(=O)Nc3cccc(F)c3)ccc2n1C
CHEMBL27006,5.73,FC(F)(F)c1cc(CO[C@H]2CCCN[C@H]2c2ccccc2)cc(C(F)(F)F)c1
CHEMBL1607059,2.3,CCCOC(=O)c1ccc(NC(=O)c2cnccn2)cc1
CHEMBL2000338,5.23,COc1ccc(/N=c2\oc3ccc(OC)cc3cc2-c2nc3ccccc3[nH]2)cc1
CHEMBL1372271,5.18,COC(=O)c1ccc(NC(=O)c2c(NCc3ccc(C)o3)sc3c2CCCC3)cc1
CHEMBL1427147,3.44,Cc1cc(C)n(-c2ccc(C(=O)Oc3ccc4c(c3)OCO4)cc2)n1
